n,p,m
"{""synonym"":[Ichtadenovirus],""name"":adenoviridae,""definition"":['A family of non-enveloped viruses infecting mammals (MASTADENOVIRUS) and birds (AVIADENOVIRUS) or both (ATADENOVIRUS). Infections may be asymptomatic or result in a variety of diseases.'],""name_Dataset"":ADENOVIRIDAE,""label"":Adenoviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D000256,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Ichtadenovirus],""name"":adenoviridae,""definition"":['A family of non-enveloped viruses infecting mammals (MASTADENOVIRUS) and birds (AVIADENOVIRUS) or both (ATADENOVIRUS). Infections may be asymptomatic or result in a variety of diseases.'],""name_Dataset"":ADENOVIRIDAE,""label"":Adenoviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D000256,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":['Viruses whose nucleic acid is DNA.'],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}"
"{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":['Viruses whose nucleic acid is DNA.'],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":['Viruses whose nucleic acid is DNA.'],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, Animal],""name"":viruses,""definition"":['Minute infectious agents whose genomes are composed of DNA or RNA, but not both. They are characterized by a lack of independent metabolism and the inability to replicate outside living host cells.'],""label"":Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D014780,""ontology"":MESH}"
"{""synonym"":[Virus, Animal],""name"":viruses,""definition"":['Minute infectious agents whose genomes are composed of DNA or RNA, but not both. They are characterized by a lack of independent metabolism and the inability to replicate outside living host cells.'],""label"":Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D014780,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Virus, Animal],""name"":viruses,""definition"":['Minute infectious agents whose genomes are composed of DNA or RNA, but not both. They are characterized by a lack of independent metabolism and the inability to replicate outside living host cells.'],""label"":Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D014780,""ontology"":MESH}","{""uri"":http://www.w3.org/2002/07/owl#equivalentClass}","{""synonym"":[Vira],""name"":viruses,""definition"":[],""label"":Viruses,""uri"":http://purl.bioontology.org/ontology/NCBITAXON/10239,""ontology"":NCBITAXON}"
"{""synonym"":[Virus, Animal],""name"":viruses,""definition"":['Minute infectious agents whose genomes are composed of DNA or RNA, but not both. They are characterized by a lack of independent metabolism and the inability to replicate outside living host cells.'],""label"":Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D014780,""ontology"":MESH}","{""uri"":http://www.w3.org/2002/07/owl#equivalentClass}","{""synonym"":[viruses, Vira, Viridae],""name"":viruses,""definition"":[],""label"":Viruses,""uri"":http://purl.obolibrary.org/obo/NCBITaxon_10239,""ontology"":BERO}"
"{""synonym"":[Virus, Animal],""name"":viruses,""definition"":['Minute infectious agents whose genomes are composed of DNA or RNA, but not both. They are characterized by a lack of independent metabolism and the inability to replicate outside living host cells.'],""label"":Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D014780,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""name"":THING,""label"":THING,""uri"":http://www.w3.org/2002/07/owl#Thing}"
"{""synonym"":[Anelloviruses],""name"":anelloviridae,""definition"":['A family of non-enveloped, vertebrate, single-stranded DNA Viruses.'],""name_Dataset"":ANELLOVIRIDAE,""label"":Anelloviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D049811,""ontology"":MESH}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Anelloviruses],""name"":anelloviridae,""definition"":['A family of non-enveloped, vertebrate, single-stranded DNA Viruses.'],""name_Dataset"":ANELLOVIRIDAE,""label"":Anelloviridae,""uri"":http://purl.bioontology.org/ontology/MESH/D049811,""ontology"":MESH}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Virus, DNA],""name"":dna viruses,""definition"":['Viruses whose nucleic acid is DNA.'],""label"":DNA Viruses,""uri"":http://purl.bioontology.org/ontology/MESH/D004267,""ontology"":MESH}"
